n,p,seed,k,method,found,solution,valid,timeout,num_variables,num_clauses,encoding_time,solver_time,total_time
20,0.2,1,6,backtracking,True,"[0, 2, 3, 4, 11, 13]",True,False,,,,9.039999999993498e-05,9.039999999993498e-05
20,0.2,1,6,minisat,True,"[0, 2, 3, 4, 11, 13]",True,False,104,198,0.0005258999999999681,0.0009991000000000305,0.0015249999999999986
20,0.2,1,6,cadical,True,"[0, 2, 3, 4, 11, 13, 15, 16, 19]",True,False,104,198,0.0005258999999999681,0.004445899999999892,0.00497179999999986
20,0.2,1,8,backtracking,True,"[0, 2, 3, 4, 11, 13, 15, 16]",True,False,,,,0.00012110000000031818,0.00012110000000031818
20,0.2,1,8,minisat,True,"[0, 3, 4, 5, 8, 11, 15, 18]",True,False,116,226,0.0005678999999996215,0.0009577999999996756,0.001525699999999297
20,0.2,1,8,cadical,True,"[0, 2, 3, 4, 11, 13, 15, 16, 19]",True,False,116,226,0.0005678999999996215,0.007507400000000164,0.008075299999999785
20,0.2,2,6,backtracking,True,"[0, 1, 2, 5, 7, 9]",True,False,,,,6.649999999996936e-05,6.649999999996936e-05
20,0.2,2,6,minisat,True,"[0, 2, 5, 7, 9, 10]",True,False,104,200,0.00048660000000033676,0.0011120000000000019,0.0015986000000003386
20,0.2,2,6,cadical,True,"[0, 1, 2, 5, 7, 9, 10, 15]",True,False,104,200,0.00048660000000033676,0.005027099999999951,0.005513700000000288
20,0.2,2,8,backtracking,True,"[0, 1, 2, 5, 7, 9, 10, 15]",True,False,,,,0.0001634000000003688,0.0001634000000003688
20,0.2,2,8,minisat,True,"[0, 1, 2, 5, 7, 9, 10, 15]",True,False,116,228,0.0005370000000000097,0.0009041999999999106,0.0014411999999999203
20,0.2,2,8,cadical,True,"[0, 1, 2, 5, 7, 9, 10, 15]",True,False,116,228,0.0005370000000000097,0.007845400000000335,0.008382400000000345
20,0.2,3,6,backtracking,True,"[0, 1, 2, 5, 10, 11]",True,False,,,,8.370000000024191e-05,8.370000000024191e-05
20,0.2,3,6,minisat,True,"[0, 1, 2, 5, 10, 11]",True,False,104,193,0.0005395999999997514,0.0011062000000001682,0.0016457999999999195
20,0.2,3,6,cadical,True,"[0, 1, 2, 5, 10, 11, 18, 19]",True,False,104,193,0.0005395999999997514,0.004773500000000208,0.0053130999999999595
20,0.2,3,8,backtracking,True,"[0, 1, 2, 5, 10, 11, 18, 19]",True,False,,,,0.0001988000000001655,0.0001988000000001655
20,0.2,3,8,minisat,True,"[0, 1, 2, 5, 10, 11, 18, 19]",True,False,116,221,0.0009133999999999531,0.0017592999999997971,0.0026726999999997503
20,0.2,3,8,cadical,True,"[0, 1, 2, 5, 10, 11, 18, 19]",True,False,116,221,0.0009133999999999531,0.006707699999999761,0.007621099999999714
